Incidencia,Virulencia,P-hosp,Letalidad,Acumulado hosp,sDist,N decesos infeccion,N decesos hosp,Acumulado defunciones,atpi,Escenario
0.348126833,0.190691328,0.080647499,0.034293511,5565,1823611528,724,407,1131,44674662,NvProp Alto
0.346919908,0.186873486,0.079047009,0.031911959,5428,1827362222,668,373,1041,43853079,NvProp Alto
0.347798383,0.186922203,0.078291037,0.033446973,5371,1819362326,715,374,1089,44966837,NvProp Alto
0.345665295,0.18658027,0.079516392,0.032277599,5472,1825359168,690,376,1066,44315318,NvProp Alto
0.345327379,0.185571385,0.078971132,0.03255532,5422,1823798326,700,374,1074,44712317,NvProp Alto
0.344638857,0.184449231,0.077602097,0.032096593,5389,1825274803,691,367,1058,43413816,NvProp Alto
0.349723604,0.190723371,0.081415722,0.034058829,5576,1823868023,707,415,1122,44749036,NvProp Alto
0.348766649,0.185403267,0.078002423,0.033366549,5409,1822058885,731,374,1105,44742658,NvProp Alto
0.347037675,0.19229599,0.081341032,0.033834358,5607,1825864944,713,399,1112,44305921,NvProp Alto
0.343925707,0.189387205,0.080580507,0.032678336,5508,1826506043,670,396,1066,44284309,NvProp Alto
0.3448609,0.190067969,0.079854783,0.034872329,5477,1821522965,731,408,1139,44750465,NvProp Alto
0.348498528,0.190646931,0.080346161,0.033373173,5487,1823512853,734,355,1089,44994450,NvProp Alto
0.343324168,0.191934739,0.081262948,0.033646298,5531,1822449460,704,389,1093,44775821,NvProp Alto
0.345125678,0.187891633,0.079189633,0.032589999,5402,1821060958,715,346,1061,44513733,NvProp Alto
0.344754805,0.189220735,0.078468217,0.033779609,4844,1973259953,668,316,984,12430221,NvProp Intermedio
0.344313452,0.187799165,0.078678861,0.031605391,4912,1973443379,620,311,931,12541088,NvProp Intermedio
0.34650049,0.188372251,0.078532853,0.034209272,4886,1970150322,648,357,1005,12927932,NvProp Intermedio
0.345003738,0.193928236,0.07995365,0.036090173,4899,1966701780,684,355,1039,13610854,NvProp Intermedio
0.343135075,0.189254348,0.078096558,0.034234545,4848,1970349703,647,347,994,12738536,NvProp Intermedio
0.345732113,0.190111325,0.07817799,0.034084662,4864,1968469661,669,323,992,12959263,NvProp Intermedio
0.341186606,0.187913451,0.078453289,0.03286935,4843,1971382734,611,343,954,12835255,NvProp Intermedio
0.340235015,0.189931192,0.078989121,0.032536911,4879,1974142658,614,327,941,12327090,NvProp Intermedio
0.343964011,0.185636157,0.077512749,0.032022839,4803,1974293196,594,337,931,12195889,NvProp Intermedio
0.345977612,0.192478104,0.079332751,0.035170874,4908,1967563385,696,328,1024,13253664,NvProp Intermedio
0.343483248,0.187077589,0.078478951,0.032812922,4916,1972090573,620,351,971,12661861,NvProp Intermedio
0.344612178,0.188776386,0.077667873,0.034494594,4829,1972543028,671,334,1005,12900142,NvProp Intermedio
0.345983843,0.188558893,0.078248913,0.034019575,4894,1972158462,693,315,1008,13189900,NvProp Intermedio
0.341644989,0.183608396,0.075508735,0.033252742,4616,1971571450,624,325,949,12132606,NvProp Intermedio
0.343331839,0.190005529,0.078599146,0.033764169,4841,1973299464,657,320,977,12838276,NvProp Intermedio
0.344675086,0.189620893,0.07932421,0.032754844,4991,1976949691,636,336,972,12706458,NvProp Intermedio
0.343429886,0.191887514,0.079284467,0.034703794,4902,1969355675,666,341,1007,13306398,NvProp Intermedio
0.345362842,0.188710108,0.079345428,0.033482441,4999,1971429533,654,349,1003,13212045,NvProp Intermedio
0.341768385,0.191428271,0.078610036,0.035750551,4814,1969158784,653,368,1021,13224834,NvProp Intermedio
0.341691813,0.189235029,0.07852063,0.033748702,4847,1970402285,620,355,975,12647396,NvProp Intermedio
0.343372607,0.190429517,0.079304913,0.032555046,4833,1972397706,607,323,930,11934021,NvProp Intermedio
0.342878227,0.191284878,0.08000389,0.033827075,4936,1970805440,617,365,982,12693412,NvProp Intermedio
0.345352751,0.187769809,0.078053466,0.03195214,4876,1976460950,648,292,940,12248820,NvProp Intermedio
0.343838601,0.189624392,0.07786637,0.034375328,4756,1971861746,661,321,982,12401022,NvProp Intermedio
0.343020004,0.1875,0.078026949,0.033254978,4812,1971638689,612,350,962,12371834,NvProp Intermedio
0.342063399,0.192925161,0.080654322,0.033758465,4970,1974229760,642,340,982,12901899,NvProp Intermedio
